time_s,r0_cm,r05_cm,r10_cm,r15_cm,r20_cm
100,2.55,2.55,2.55,2.55,2.2454
300,2.55,2.55,2.55,2.5491,2.0502
600,2.55,2.55,2.55,2.535,1.8767
900,2.55,2.55,2.5497,2.5042,1.7546
1200,2.55,2.55,2.5481,2.4642,1.6585
1500,2.55,2.5499,2.5445,2.4203,1.5787
1800,2.55,2.5497,2.5382,2.3752,1.5102
